Name,Pubished Date,Original Price,Discount Price,Reviews,Tags
The Elder Scrolls® Online,"
                    May 22, 2017                ",$19.99,$4.99,127693,"['RPG', 'MMORPG', 'Open World', 'Fantasy', 'Adventure', 'Multiplayer', 'Exploration', 'Singleplayer', 'Massively Multiplayer', 'Action', 'Character Customization', 'PvP', 'PvE', 'Lore-Rich', 'Story Rich', 'Choose Your Own Adventure', 'Class-Based', 'Magic', 'Action RPG', 'Atmospheric']"
FANTASY LIFE i: The Girl Who Steals Time,"
                    May 21, 2025                ",N/A,$59.99,6311,"['RPG', 'Action', 'Casual', 'JRPG', 'Action-Adventure', 'City Builder', 'Exploration', 'Party-Based RPG', '3D', 'Cute', 'Third Person', 'Fantasy', 'Character Customization', 'PvE', 'Open World', 'Online Co-Op', 'Singleplayer', 'Multiplayer', 'Crafting', 'Co-op']"
War Thunder,"
                    Aug 15, 2013                ",N/A,Free,625895,"['Free to Play', 'Simulation', 'Vehicular Combat', 'Combat', 'World War II', 'Flight', 'VR', 'War', 'Military', 'Tanks', 'Multiplayer', 'Naval Combat', 'Modern', 'Massively Multiplayer', 'Cold War', 'Realistic', 'Shooter', 'Action', 'Third Person', 'Third-Person Shooter']"
Schedule I,"
                    Mar 24, 2025                ",N/A,$19.99,186812,"['Simulation', 'Co-op', 'Crime', 'Multiplayer', 'Open World', 'Management', 'First-Person', 'Action', 'Crafting', 'Base Building', 'Automation', 'Building', 'Stealth', 'Strategy', 'FPS', 'Character Customization', 'Driving', 'Shooter', 'Early Access', 'Action-Adventure']"
Tainted Grail: The Fall of Avalon,"
                    May 23, 2025                ",N/A,$44.99,10357,"['Adventure', 'Open World', 'Dark Fantasy', 'RPG', 'First-Person', 'Third Person', 'Exploration', 'Character Customization', 'Singleplayer', 'Action RPG', 'Survival Horror', 'Choices Matter', 'Nonlinear', 'Narrative', 'Action', 'Immersive Sim', 'FPS', 'Story Rich', 'Multiple Endings', 'Immersive']"
Red Dead Redemption 2,"
                    Dec 5, 2019                ",N/A,$59.99,674805,"['Open World', 'Story Rich', 'Western', 'Adventure', 'Multiplayer', 'Action', 'Realistic', 'Singleplayer', 'Shooter', 'Atmospheric', 'Horses', 'Beautiful', 'Mature', 'Third-Person Shooter', 'Great Soundtrack', 'Third Person', 'Gore', 'Sandbox', 'First-Person', 'FPS']"
Warframe,"
                    Mar 25, 2013                ",N/A,Free,620001,"['Free to Play', 'Action RPG', 'Looter Shooter', 'Third-Person Shooter', 'Action', 'RPG', 'Third Person', 'Character Customization', 'Massively Multiplayer', 'Online Co-Op', 'Co-op', 'PvE', 'Sci-fi', 'Singleplayer', 'Space', 'Shooter', 'Lore-Rich', 'Hack and Slash', 'Parkour', 'Ninja']"
Dead by Daylight,"
                    Jun 14, 2016                ",N/A,$19.99,579334,"['Horror', 'Multiplayer', 'Survival Horror', 'Online Co-Op', 'Co-op', 'Survival', 'Gore', 'Team-Based', 'Blood', 'Third Person', 'Stealth', 'Violent', 'First-Person', 'Psychological Horror', 'Action', 'Atmospheric', 'Strategy', 'Comedy', 'Mature', 'Difficult']"
F1® 25,"
                    May 30, 2025                ",N/A,$59.99,1613,"['Racing', 'Sports', 'Simulation', 'PvP', 'Co-op', 'Online Co-Op', 'Multiplayer', 'Driving', 'Automobile Sim', 'Singleplayer', 'VR']"
Apex Legends™,"
                    Nov 4, 2020                ",N/A,Free,994614,"['Free to Play', 'Battle Royale', 'Multiplayer', 'FPS', 'Shooter', 'First-Person', 'PvP', 'Action', 'Hero Shooter', 'Team-Based', 'Tactical', 'Sci-fi', 'Loot', 'Survival', 'Co-op', 'Character Customization', 'Funny', 'Lore-Rich', 'Cyberpunk', 'Cinematic']"
