Name,Year,Original Price,Discount Price,Reviews,Genre,Search Filter
Grand Theft Auto V Enhanced,2025,N/A,$29.99,51923,Action,upcomingreleases
Risk of Rain 2,2020,N/A,$24.99,212208,Action,upcomingreleases
Call of Duty®: Warzone™,2022,N/A,Free,44946,Action,upcomingreleases
American Truck Simulator,2016,N/A,$19.99,144490,Indie,upcomingreleases
The First Descendant,2024,N/A,Free,103373,Action,upcomingreleases
THE FINALS,2023,N/A,Free,230880,Action,upcomingreleases
Outer Wilds,2020,$24.99,$16.49,70812,Action,upcomingreleases
Enshrouded,2024,N/A,$29.99,69987,Action,upcomingreleases
Red Dead Redemption 2,2019,N/A,$59.99,675286,Action,upcomingreleases
Hearts of Iron IV,2024,N/A,$49.99,237592,Simulation,upcomingreleases
Sea of Thieves: 2025 Edition,2020,N/A,$39.99,306572,Action,upcomingreleases
GUILTY GEAR -STRIVE-,2021,N/A,$27.20,42398,Action,upcomingreleases
RimWorld,2018,N/A,$34.99,178210,Indie,upcomingreleases
Limbus Company,2023,N/A,Free,63365,Action,upcomingreleases
Planet Zoo,2019,$44.99,$13.49,72871,Casual,upcomingreleases
inZOI,2025,N/A,$39.99,19029,Adventure,upcomingreleases
